houses,farms,mines,lumber mills,latrines,run_id
2,3,0,0,2,5
2,3,0,0,2,5
2,3,0,0,2,5
2,3,0,0,2,5
2,3,0,0,2,5
2,3,0,0,2,5
2,3,0,0,2,5
2,3,0,0,2,5
2,3,0,0,2,5
2,3,0,0,2,5
2,3,0,0,2,5
2,3,0,0,2,5
2,3,0,0,2,5
2,3,0,0,2,5
2,3,0,0,2,5
2,3,0,0,2,5
2,3,0,0,2,5
2,3,0,0,2,5
2,3,0,0,2,5
2,3,0,0,2,5
2,3,0,0,2,5
2,3,0,0,2,5
2,3,0,0,2,5
2,3,0,0,2,5
2,3,0,0,2,5
2,3,0,0,2,5
0,0,0,0,0,6
0,1,0,0,0,6
0,1,0,0,0,6
0,1,0,1,0,6
0,1,1,1,0,6
0,2,1,1,0,6
0,2,1,1,0,6
0,2,1,1,0,6
1,2,1,1,0,6
1,2,1,1,1,6
1,3,1,1,1,6
1,3,1,1,1,6
1,2,1,1,1,6
1,3,1,1,1,6
1,3,1,1,1,6
1,3,1,1,1,6
1,3,1,1,2,6
1,3,1,1,2,6
1,3,2,1,2,6
1,3,2,1,2,6
1,3,2,1,3,6
1,4,2,1,3,6
1,4,2,1,3,6
1,4,2,1,3,6
1,4,2,1,3,6
1,4,2,1,4,6
1,4,2,1,5,6
1,4,2,1,5,6
1,4,2,1,5,6
2,4,2,1,5,6
3,4,2,1,5,6
3,4,2,1,5,6
3,4,2,1,5,6
3,4,2,1,5,6
3,4,2,1,5,6
4,3,2,1,5,6
4,3,2,1,5,6
4,3,2,1,5,6
3,4,2,1,5,6
3,4,2,1,5,6
3,4,2,1,5,6
3,4,2,1,5,6
3,4,2,2,5,6
3,4,2,2,5,6
3,4,2,2,6,6
3,4,2,2,6,6
3,4,2,2,6,6
3,4,2,2,6,6
3,4,2,2,6,6
4,3,2,2,6,6
4,3,2,2,6,6
4,3,2,2,6,6
5,3,2,2,6,6
5,3,2,2,6,6
5,3,2,2,7,6
5,3,2,2,7,6
5,3,2,2,7,6
5,3,2,2,7,6
5,3,2,2,7,6
6,3,2,2,7,6
6,3,2,2,7,6
6,3,2,2,7,6
7,3,2,2,7,6
8,3,2,2,7,6
8,3,2,2,8,6
8,3,2,2,8,6
8,3,2,2,8,6
8,3,2,2,9,6
8,3,2,3,9,6
8,3,1,4,9,6
8,3,1,4,9,6
8,3,1,5,9,6
7,4,1,5,9,6
7,4,1,6,8,6
8,4,1,6,8,6
8,4,1,6,8,6
8,4,1,6,9,6
8,4,1,6,10,6
8,4,1,6,10,6
7,5,1,6,10,6
6,5,1,6,11,6
6,6,1,6,11,6
6,6,1,6,11,6
6,6,1,6,11,6
7,6,1,6,11,6
7,7,1,6,11,6
7,7,1,6,11,6
7,7,1,6,12,6
7,7,1,6,12,6
7,8,1,6,12,6
7,8,1,6,12,6
7,8,1,6,12,6
7,8,2,6,12,6
7,8,2,6,12,6
7,9,2,6,12,6
7,10,2,6,12,6
7,10,2,6,12,6
8,10,2,6,12,6
8,10,2,5,13,6
8,10,2,5,13,6
0,0,0,0,0,7
0,0,0,0,0,7
0,0,0,1,0,7
0,0,1,1,0,7
1,0,1,1,0,7
1,0,1,1,0,7
1,0,1,1,0,7
1,0,1,1,0,7
1,0,1,1,0,7
2,0,1,1,0,7
